epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.894116671706,0.104912157012,0.0682345911798,0.131660116073,0.988000007272,0.0216850645375,0.0520808484033,0.0421007568017
1,0.982316676577,0.0265325954231,0.0511093999445,0.0465674796545,0.989700006843,0.0156413912727,0.0439540722221,0.0328713871166
2,0.986783343156,0.0196520627624,0.0432879247703,0.0366209288966,0.992800003886,0.0116354823339,0.0368787005916,0.0260919327196
3,0.98991667519,0.0158589843389,0.0373827320461,0.0305130149393,0.991700004935,0.0118808781344,0.0328958290257,0.0247760427091
4,0.991066674391,0.0133019758796,0.0341187332695,0.0266765189947,0.992800005674,0.0109767751093,0.0298047459126,0.0226602352783
5,0.992000007133,0.0119443367406,0.0316195609917,0.0243392043374,0.993600005507,0.0086513015785,0.0275604821183,0.019455010267
6,0.992850006322,0.0105068054535,0.0296037177959,0.022111462485,0.994900004864,0.0084208037029,0.0260097111762,0.0186166102812
7,0.993683339059,0.00936341362268,0.0278046970287,0.0202628545882,0.993700006008,0.00807114222029,0.0243663883954,0.0176227662014
8,0.994266671936,0.00827146552134,0.0263513724351,0.0186012032581,0.994100004435,0.00745562283104,0.0231326651759,0.0165236272989
9,0.994900004764,0.00756243371346,0.0251608541173,0.0174254882801,0.994600004554,0.0066056683311,0.0223386314884,0.0153624116536
10,0.995366671085,0.00676945303965,0.0242098201687,0.0162597022749,0.994400004148,0.00669355812701,0.0211413385533,0.0149809626257
11,0.995733337402,0.00639814340859,0.0234271568246,0.015581588652,0.99590000391,0.00578946274865,0.0203431125637,0.0137639626302
12,0.996266670227,0.00584809248442,0.0227153435194,0.014752506918,0.99430000484,0.00611054859284,0.0197451329418,0.0138506405801
13,0.996383336782,0.00530424688142,0.0220475007656,0.0139468669721,0.995400004387,0.00560057537186,0.0191968388949,0.0131257360103
14,0.996583336592,0.00510613265001,0.021508210764,0.0135373510451,0.994900004268,0.00544012509705,0.0187295042444,0.0127820906229
15,0.997166669269,0.0044906584026,0.0210074970933,0.0127255970566,0.995400004387,0.00491145207801,0.0182675414253,0.0120723281614
